headline,text,high_label,label
Weather: Mostly sunny,"Short-lived fog will hover over certain low-lying areas in the morning.

Hot and sunny weather will continue for several more days. Isolated thunderstorms will be possible on Wednesday afternoon.",weather,weather
"Schedule of events for Tuesday, 12 September","LUXEMBOURG, Luxembourg - Prime Minister Robert Golob will meet Luxembourg's Prime Minister Xavier Bettel to discuss bilateral relations and topical international issues. Golob will also meet the senior officials and members of the Luxembourg's parliament; press conference at 10:55am.

LJUBLJANA - The Home Affairs Committee will discuss the government's activities regarding the situation of the Roma community in Slovenia; Parliament House, Šubičeva 4, 2pm.

LJUBLJANA - A conference discussing ways to achieve lasting peace in Ukraine, organised by the Konrad Adenauer Foundation and the Janez Evangelist Krek Institute; Grand Plaza Hotel, Slovenska 60, 4pm.

LJUBLJANA - Voice of the People, a civil initiative, will table a bill on emergency measures to shore up the health system; Republic Square, 11:55am.

LJUBLJANA - Ljubljanska Borza, the operator of the Ljubljana Stock Exchange, will host an online event on the Slovenian capital market and present the results of five large Slovenian companies in the first half of the year; 1pm.

LJUBLJANA - Cankarjev Dom, Slovenia's largest cultural institution, will present its programme for the new season; Prešernova 10, 11am.

In case of further queries contact the duty editor at +386 1 241 0115 or english@sta.si:

7:30am to 2pm: Mateja Benec
2pm to 10pm: Ajda Ana Zupančič

Follow us on:

Twitter https://twitter.com/STA_English

Facebook https://www.facebook.com/STA.English","economy, business and finance","economy, business and finance"
Foreign Minister Fajon starting visit to Vietnam and Indonesia,"The visits also comes as Slovenian business have expressed the wish to find new opportunities and to cooperate with the Indo-Pacific region, especially with Southeast Asia.

This is in line with the EU strategy for cooperation with the Indo-Pacific region, the ministry noted.

The visit to Vietnam and Indonesia will also be an opportunity to present Slovenia's bid for a non-permanent seat on the UN Security Council in 2024 and 2025.

In the vote on 6 June, Slovenia will need a two-thirds majority of the votes cast by UN members to be elected from the Eastern European group, with Belarus competing for the same seat, the ministry noted.

Accompanied by a business delegation, Fajon will visit on Sunday and Monday Ho Chi Minh City, the business centre of Vietnam, where she will open a Slovenian-Vietnamese business forum and meet the mayor of the city.

The foreign minister will also be a guest at a meeting of young women entrepreneurs.

Fajon will then travel to the capital Hanoi, where she will meet her counterpart Bui Thanh Son, Industry and Trade Minister Nguyen Hong Dien and Prime Minister Pham Minh Chinh on Tuesday. A business event will also be hosted as part of the visit.

On Wednesday, the foreign minister will visit Indonesia, where she will meet in the capital of Jakarta her counterpart Retno Marsudi, Association of Southeast Asian Nations (ASEAN) Secretary-General Kao Kim Hourn and Arsjad Rasjid, the chairman of the Indonesian Chamber of Commerce and Industry.","economy, business and finance",politics
Freediver Alenka Artnik breaks another world record,"The 41-year-old from the port city of Koper dived 107 metres on the third day of the competition to break personal and national records only to dive two metres deeper three days later to become the world-record holder.

""Who runs the world?! Women,"" the organisers of the competition wrote on their website. Artnik added that ""the dive went exactly as I always want it to. That's not always easy. I feel the whole universe was supporting me today and the result has come"".

Artnik has been a freediver for just over a decade and has set a number of milestones, including in 2017 when she became the fourth women ever to dive 100 metres deep.

She is considered one of the greatest freedivers ever, and set world records six times between 2018 and 2021; until recently she was a record-holder in monofin with 122 metres, set in 2021.

Last November, she received the Golden Order of Merit from the Slovenian president for her outstanding sporting achievements. ""When I get a recognition like this, it provides me with additional motivation and energy,"" she told the STA at the time.",sport,sport
"Tagging of food couriers suspended, report says","Since last week food couriers in the capital no longer have to wear identification numbers, a measure that was introduced to facilitate reporting their potential traffic violations amid the growing number of citizens' complaints.

Tagging has been suspended until the Information Commissioner wraps up the procedure to establish whether the identification numbers are in accordance with provisions on the protection of personal data, Wolt and Glovo representatives told the newspaper.

As tagging was launched, the Ljubljana municipality said the measure would help improve traffic safety in city centre, but the Labour Ministry and the Mladi Plus youth trade union have been very critical of the move.

The latter said in August 2022 that the local authorities and the gig economy companies wanted to place the blame and responsibility for traffic violations on the couriers instead of taking responsibility for creating the conditions that forced them to violate traffic rules in the first place.

According to Dnevnik's unofficial information, the procedure against Wolt Tehnologije and Glovoapp SI was initiated by the Information Commissioner, whose office told the newspaper that it was conducting two separate proceedings against the companies, but would not disclose further information as the proceedings are ongoing.

Responding to the latest developments, the municipality, which imposed tagging in agreement with Wolt and Glovo, said that it had been informed about the suspension and that no alternative measures were being considered for now.",social issue,social issue
Foreign minister starts two-day visit to Tanzania,"New opportunities for cooperation between the countries will be formed as part of the visit, particularly in the fields of energy, technology, water management, green economy and food security, the ministry wrote.

Fajon will present to the Tanzanian minister the international conference Africa Day, hosted by Slovenia every year, that will take place in April and focus on food security.

Fajon has just finished a three-day visit to Ethiopia garnering support for Slovenia's candidacy for the Security Council and strengthening cooperation.

The support of African countries will be key in Slovenia's bid for a seat in the Security Council, so senior officials are travelling to Africa to get endorsement. Last week State Secretary Samuel Žbogar visited Namibia and Botswana and National Assembly President Urška Klakočar Zupančič visited Rwanda and Uganda.

The elections will take place on 6 June. Competing against Belarus, Slovenia needs 129 votes to be elected. Fajon is staying moderately optimistic, she said some days ago in Brussels.","economy, business and finance","economy, business and finance"
Treasury: Pay rise deals not jeopardising fiscal stability (adds),"The financial effect of the EUR 600 gross in monthly bonus promised to judges and prosecutors is estimated at EUR 9.1 million annually, the ministry said on Thursday in response to the STA's questions.

The ministry described the bonus as a temporary measure, to be in force until the public sector pay system has been reformed. The funds will be secured through budget redistribution, it said.

The impact of the planned increase in salaries of kindergarten assistant teachers by four brackets and a pay rise for junior researchers is EUR 18 million in 2023, according to the ministry.

The ministry said the deal with the doctors' union Fides would have no financial consequences. Doctors' demands are to be resolved in a separate pay tier for healthcare which is to come into effect by next year.

""We would like to emphasise that the changes adopted do not jeopardise the sustainability of public finances,"" the ministry said.

Among those raising concerns about the latest pay rise deals was Davorin Kračun, the head of the Fiscal Council, who told the commercial broadcaster POP TV the public sector wage bill was EUR 5.5 billion or 11% of GDP.

""This means that each percentage of the rise in those wages accounts for EUR 50 million in additional borrowing,"" Kračun said.

""We're talking about irresponsible distribution of money that is in fact non-existing,"" Maks Tajnikar, the dean of the Ljubljana School of Business and Economics, told the newspaper Delo.

According to the Public Administration Ministry, the recent agreements stem from the promises given to the public sector by the previous government.

The incumbent government had obligated itself to honour these deals ""in the light of respect for the rule of law"", the ministry said.

It expressed surprise that the trade unions that have also brokered deals with the government in the past are talking about industrial action now that the government is set to implement valid deals.

Moreover, the government will in the coming days adopt pay system reform guidelines for talks with trade unions. Simultaneously talks will be launched on eliminating pay disparities, to wrap up by the end of June.

The ministry also touched on bonuses promised to judges and prosecutors, saying their salaries had actually decreased in real terms since 2015, while those of other public sector employees increased.

The salaries of prosecutors dropped by 11% and those of judges by 4.9%, while public sectors employees' salaries rose by 12.8%, the Public Administration Ministry said.","economy, business and finance","economy, business and finance"
Real-estate company Equinox ups sales revenue,"The company, which joined the benchmark index of the Ljubljana Stock Exchange in January, said that excluding one-off items, earnings before interest and taxes would have amounted to EUR 860,221, an increase of EUR 197,589 compared to the same period last year.

Meanwhile, gross operating profit (EBITDA) increased by 8.1% to EUR 2.53 million, according to the unaudited results.

The Funds from Operations (FFO), which the company said is the most widely monitored indicator of the performance of real estate companies, reached EUR 2.86 million in the first half of the year, compared to EUR 2.38 million in the same period last year.

The company generates income mainly from renting out properties and charging tenants for expenses. It said it completed the renovation of the second floor of the Grand Hotel Union and four floors of the Delo office tower in the capital.","economy, business and finance","economy, business and finance"
Delo says battle of Bakhmut is human slaughterhouse,"Starting nine months ago, the battle of Bakhmut is the longest and the most brutal battle of the Ukraine war. Tens of thousands of soldiers died on both sides, the paper says under the headline Human Slaughterhouse With No Strategic Value.

The battle of Bakhmut has become a national legend in Ukraine. As graves are being dug for soldiers across Ukraine, poems are being written about the battle of Bakhmut. But the battle is a slaughterhouse killing off hundreds of young Ukrainian lives at an increasing speed.

Things have become especially bad in the past weeks, as the Russian mercenary army Wagner has been sending into death in human waves thousands of Russian prisoners it recruited, and strengthened its grip in the city.

At the moment, Bakhmut is a symbol of rebellion, but a symbol of what will it be a few years from now? Fighting for survival in WWII-style trenches, Ukrainian soldiers are running out of ammunition, and the most recent reports show that some units had withdrawn from the area.

Kyiv has been defending Bakhmut with the intention tiring out the Russian military and to relieve pressure on other battlefields. It was also a delay tactics, as Ukraine was waiting for a new weapons shipment from the West, which would allow a new offensive in the spring. But this seems impossible at the moment, given the losses and the exhaustion.

For Kremlin, however, it is imperative that Russia wins the battle. Putin desperately needs a victory, even one without a strategic value, to sell it to the people as a new battle of Stalingrad or Kursk. For the attackers, people in the battle of Bakhmut are merely biomass to burn through.","unrest, conflicts and war","unrest, conflicts and war"
Paper says administrative units reform should start with simpler laws,"Despite the ministry rejecting the news that out of a total of 58 units around the country only 12 will be kept, it has earned itself heavy criticism.

The opposition SDS and NSi said such a reform is another step towards centralisation and yet another sign the Golob government is out of touch with reality, but it was also criticised by the coalition SocDems and several mayors.

Despite the outcry, there is little information about what the ministry wants to achieve apart from addressing the shortage of staff and overload at certain units.

The main guideline seems to be one administrative unit taking over the more demanding cases for a whole region at the centre of that region.

The ministry has promised to reveal more details in the autumn, but the impression is it does not really know how to carry out the planned reorganisation.

Staff at administrative units and users of their services believe that the ministry should address unfriendly, complicated and often absurd legislation that sometimes makes procedures at administrative units unreasonably long, concludes the commentary They Should Start at the Bottom of Things.",social issue,social issue
Kralj awarded posthumous Kresnik Prize for novel of the year,"A mix of fiction and fact, Ne Bom Se Več Drsal na Bajerju (I'm Not Skating on the Pond Anymore) is the second novel by Kralj and was published just before he died.

The Second World War is one of the most often fictionalised periods and therefore one of the most demanding topics. Kralj does not attempt to tell a big story, he focuses on a specific local level, gliding along a thin line between fact and fiction, the jury said.

""The novel is the embodiment of the maxim that to get to the universal, one must start with the particular,"" jury chair Igor Bratož, a culture writer for Delo newspaper, said at Friday's award ceremony.

Kralj was the only male author shortlished for the EUR 7,000 prize, which is considered the most prestigious prize for novels in Slovenia.

The other shortlisted authors were Katja Gorečan, Katarina Marinčič, Dijana Matković and Tina Vrščaj.

The winner was selected in an hour-long conclave on Rožnik Hill in Ljubljana, whereupon a bonfire was lit in honour of the winner.

The Kresnik Prize is named after a pagan mythological being that appears when the Sun shines the strongest.

""The traditional bonfire flame has always and from the very start burnt in honour of the Slovenian novel, its media impact, its authors, but most fervently illuminating the path to the book for readers,"" Delo has said about the prize introduced in 1991.

The Kresnik was first handed out on 23 June 1991, and last year it went to Roman Rozina for Sto Let Slepote (Hundred Years of Blindness), a 20th-century historical novel focussing on a coal mining family.",sport,social issue
Law passed to make mortgages more accessible,"Amendments to the macro-prudential supervision of the financial system act will allow the central bank to adjust lending restrictions independently of the enforcement and security act.

The latter law provides that essential living expenses equal 76% of the minimum wage, which means borrowers need to have such amount of money left on their account when they pay off their monthly loan instalment.

Every time the minimum wage rose, the required amount of credit left on the borrowers' bank account after paying their loan obligations increased accordingly, which in turn affected their eligibility to borrow.

Under the amendments passed today, the central bank will no longer be obliged to follow that rule but will be able to set another benchmark for assessing the amount that should be left to the borrower on a monthly basis. One possible measure is an assessment of essential living expenses.

The government put forward the amendments after the statutory minimum wage rose from EUR 1,074 to EUR 1,203 gross or from EUR 778 to EUR 878 net in January. The amount the borrower is required to have left on their account after settling their monthly loan instalments thus rose from EUR 817 to EUR 915.

This impacted the creditworthiness of borrowers whose earnings range from minimum to average.

The amendments merely tackle ambiguities regarding the central bank's obligation to follow provisions of the enforcement and security act, Nikolina Prah from the Finance Ministry told MPs.

They do not affect the position of the borrower in case of enforcement for failure to pay credit obligations, she added.

Nor does the act interfere in the central bank's powers. The regulator will still take such macro-prudential measures as it deems fit for the Slovenian banking system, the indebtedness of the population and the broader financial stability.

The amendments were carried unanimously by 77 votes. All deputy factions supported the idea that borrowing should be made more accessible to households.

""We hope that the banking regulator will act sensibly and also give people on lower incomes a fair assessment of their creditworthiness,"" SocDem MP Soniboj Knežak said.

""The law is well-intentioned,"" said Jernej Vrtovec of the opposition party New Slovenia (NSi). Under the current regime, which has been in force since 2019, young people in particular cannot take out a mortgage to buy a home, so they are forced to rent, for which they may pay more per month than the loan instalment would be, he said.","economy, business and finance","economy, business and finance"
First funds for just transition of coal regions available in March,"Sofia Alves from the European Commission's Directorate-General for Regional and Urban Policy said that coal regions were faced with great challenges in their transition to climate neutrality. The Just Transition Fund was set up to address these issues, she said at the conference in Velenje.

Velenje Mayor Peter Dermol thinks the time has come for a new mindset. If the much needed trust is created among the people, the restructuring will be much easier, he said.

The Savinjsko-Saleška region is ready for the transition but needs support from the state and the European Commission in finding solutions to the many challenges, the mayor said.

First, the main projects need to be identified and then additional financial sources found in the coming years as the current budget will not be enough. Good projects will have to backed, he said.

The municipality presented its key projects of regional importance that are meant to help create a new city of Velenje. They include transforming the old city power station into an industrial and educational centre of the future, a generator of human resources, innovation and renewables.

A new 5,000-square-metre industrial and technological park in the city's business district is to help keep the rapid growing technological companies in the region and attract new ones.

Today's conference hosted by the regional development agency in cooperation with local communities was attended by a delegation from the European Commission confirming the 2021-2027 cohesion policy, under which EUR 3.2 billion will be available to Slovenia.

A ceremony marking the confirmation of the programme will be held in Ljubljana this evening with Alves, Development Minister Aleksander Jevšek and European Commissioner for Crisis Management Janez Lenarčič as keynote speakers.","economy, business and finance","crime, law and justice"
"Schedule of events for Sunday, 23 July","NOVA GORICA - Deactivation of a WWII bomb found this week in Nova Gorica near the border with Italy; 10am.

MARIBOR - Opening of the European Youth Olympic Festival featuring 4,000 athletes from 48 countries; until 29 July; Ljudski Vrt Stadium, Mladinska 29, 8:30pm.

In case of further queries contact the duty editor at english@sta.si:

Noon to 6pm: Eva Horvat

Follow us also on:

Twitter https://twitter.com/STA_English

Facebook https://www.facebook.com/STA.English",sport,sport
Weather: Partly clear,On Thursday and Friday it will be moderately to mostly cloudy but dry.,weather,weather
Govt grilling debate wraps up without conclusions,"Summing up the interpellation debate called by his Democratic Party (SDS), Janša said it showed the prime minister said one thing and the ministers another, but he hoped the debate brought the government and the coalition together, held up a mirror to them and sobered them up ""so that they stop causing confusion"".

""Any constructive criticism is good for the government because they can then correct their actions,"" the former prime minister said, announcing that the SDS would continue to support good proposals and oppose those they considered harmful to the country, if need be with referendums.

He made a prediction that the government would not complete its term. ""It's not a given that when this government falls, there will be a snap election,"" he said.

""I believe those who have followed this debate today have been able to see definitely what the difference is between the bloc that had been in power before 24 April last year and the current government,"" Prime Minister Robert Golob said referring to the general election last year in which his party won an overwhelming plurality of votes.

He said the former government, led by Janša, lived in the past, while his was ""facing reality"". Golob said his government insisted on respectful and open dialogue with everyone, including those who might not share their opinion.

As a demonstration of that he said that in recent weeks he had met with farmer representatives, who subsequently walked out of negotiations this week, and today, on the sidelines of the interpellation, he met with Pavle Rupar, a former SDS MP who heads the group that has been staging pensioners' protests in front of the parliament building.

""The dialogue was brief, but it always starts somewhere,"" Golob said, adding it was through dialogue that better solutions could be arrived at.

In presenting the arguments for the interpellation, Janša said at the beginning of the government's term ""there were great words about reforms, but after almost a year, all that is left on the table is a reform of timetables"".

He reproached the government for starting its work by abolishing the Demographic Affairs Office and the Museum of Slovenian Independence, both of which were formed by the Janša government. The museum's merger with the Museum of Recent History was the main reason for the interpellation.

Apart from accusing the government of failing to deliver on its reform promises in particular those pertaining to healthcare and taxes, Janša also accused the government of reversing measures aimed at decentralisation, of staffing purges and of pressuring the Constitutional Court.

Janša also talked about the importance of independence, assessing that Slovenia was going through a crisis of values.

Golob welcomed the debate as an opportunity to present the work of his government in a truthful way, which, in Golob's words, had been withheld from people because ""some media had been captured and because some keep misleading and scaremongering"".

He argued that 60% of the text in the SDS's motion against the government was dedicated to the Museum of Slovenian Independence and 2% to what people were struggling with the most, healthcare, which he said told a lot about the SDS's priorities.

He also accused the SDS of blocking the work of parliament and the government at the start of the term by filing bills and referendum initiatives.

As proof of the government's successful track record, he listed a range of data, including electricity, oil and petrol prices, inflation and unemployment figures, as well as decisions concerning taxes and healthcare.

He began by thanking the SDS and Janša, for reminding the people of ""all of those things they said no to a year ago"".

The debate saw opposition MPs lambaste the government for its job. The SDS initially announced it would put forward conclusions urging the government to tackle what it described as unlawful and unconstitutional conduct and decisions, but failed to table them in the end.

The opposition party New Slovenia (NSi) accused the government of waging a culture war, and of failing to implement health reform. The party suggested the SDS present conclusions with their motion, arguing it should have some kind of a ""vote outcome"".

The ruling coalition parties rejected all the accusations levelled against the government, arguing the government was successful and trustworthy. They accused the SDS of abusing the institute of interpellation.

Golob's Freedom Movement argued that the government had proved with measures taken so far in healthcare it was not just paying lip service but would implement reform.

Luka Mesec, the leader of the Left said the interpellation, ""containing 14 pages about cultural Marxism, single-party totalitarian regimes, liquidations and similar bogeymen"", was merely about demonising the government and causing unrest, while SocDem leader Tanja Fajon added there were no major conflicts within the government.

During the debate several hundred people gathered outside the parliament building to protest against the scarping of the Museum of Slovenian Independence as an independent institution. The protest was called by the right-leaning Association for the Values of Independence.

The protesters, which were joined by SDS and NSi leaders, supported the interpellation and the NSi' recommendations to the government to enhance Slovenian independence values.",politics,politics
Delo warns against Germany being stuck in its Ostpolitik,"The paper points to the words of Lars Klingbeil, head of the senior coalition SPD, revealing that Berlin had so far not allowed even the slightest possibility of its policy towards Russia going sour.

The only scenario that Germany's long-term foreign policy strategy envisaged is Russia transforming into a liberal democracy and abandoning all imperial aspirations.

Declassified government documents have shown that government officials were acquainted with risks but given the country's dependence on Russian gas, the warnings were simply overheard. And the price for this blindness is horrific, Delo says.

""This is why we should be careful when calling for Germany to take over the leading role in the European and global politics ... Who can guarantee that it will not be as strategically blind in the future as it has been so far?""

Given its size and economy, the country should be promoting the interests of liberal democracies and international law in the world more actively, and also take on greater defence responsibility.

When Klingbeil says Germany will have to reform everything from diplomacy to army the question that arises is how under-nurtured these systems are in Germany and how quickly can they change their whole modus operandi.

""If Berlin did not want to hear warnings about the danger of energy dependence on Russia is it ready to hear warnings that Putin will not stop in Ukraine?"" the paper wonders under the headline Trapped in the Ruins of Ostpolitik.",politics,politics
Večer: Golob and Plenković swept problems under the rug,"After Prime Minister Golob's first official visit to Croatia, it is clear that border arbitration remains where it has been: irrevocably accepted in Slovenia, irreversibly rejected in Croatia. ""And most importantly, it is not implemented and god knows when it will be,"" says the commentary Arbitrary Rhetoric.

As for migrations, the paper says that Plenković remains loath to host Frontex forces despite a tripling of illegal migrants and even through the foreign ministers of Slovenia, Croatia and Italy advocated stronger border checks at a meeting in Italy earlier this week.

""The prime ministers indulged in a bit of a sweeping under the rug, but for a higher cause - focusing on the way forward. This is not necessarily bad. Businesses are already showing the way with booming bilateral trade.""",politics,politics
Win over Italy enough for 7th place at World Cup,"This is as high as the team has ever climbed at the World Cup and the same result as in Spain in 2014.

NBA star Luka Dončić was once again the top scorer with 29 points, which brings his average at this World Cup to 27, likely making him the best scorer of the tournament.

He is also the first player in 30 years to have scored more than 200 points, 50 tournaments and 40 assists at the World Cup.

The team leave the tournament slightly disappointed as the aim was to reach the semi-finals.

""True, we did have higher goals and have a bitter aftertaste after the defeat against Canada, but for a country of two million people seventh place is quite an achievement,"" Zoran Dragić said.

Head coach Aleksander Sekulić likewise said seventh place is not a bad result. ""I'd like to thank all players who've come to the World Cup and fought bravely and with determination against top teams.""",sport,sport
"Shows for minorities struggling with staff, finance","At the event hosted by the Institute for Ethnic Studies, Saša Banjanac Lubej, the editor and presenter of the TV Slovenija show NaGlas! for ethnic communities that hail from former Yugoslav states, spoke about the issues faced by the show.

Banjanac Lubej said that the recent decision by the management of the public broadcaster to terminate cooperation with freelance journalists of the show had left her as the only remaining contributor as of the end of March.

According to her, the decision means that the show for the Albanian, Bosnian, Montenegrin, Croatian, Macedonian and Serbian communities in Slovenia is being cancelled in the form it was conceived eight years ago.

""Although limited, the show is still on the air but it cannot fulfil the conceived vision,"" Banjanac Lubej said, noting that the added value of the dismissed freelance journalists was that they spoke the languages of these respective communities.

Sandi Horvat, the editor of shows for the Roma community at RTV Slovenija, said he faced similar challenges, especially regarding the radio show, where he is the only employee and many times he has to prepare and host the show on his own.

Damian Fischer, who is a contributor and editor of the Koper-Capodistria Regional RTV Centre and a member of the RTV programme committee for the Italian minority, noted that the team had to cover multiple areas of work.

Fischer, who currently edits the prime time news show twice a week and a special 20-minute current affairs show on Fridays, highlighted the shortage of staff and finances as the largest issue.

""It is difficult to develop our culture because of the financial issue, but we work because our mission is to inform,"" he said.

Young people are interested in working as a journalist, but the problem for most of them is that they have to know Italian and Slovenian, and sometimes also Croatian. It is difficult to find someone with all these skills, he added.

Sandor Kovacs, a long-time contributor for the Hungarian radio station in Pomurje, said that the station could use a few more employees to function normally. ""In Ljubljana, three people perform the work that is done here by one person.""

The participants also noted that, in order to reach young generations, the minority media have created communication channels on the internet and social networks because ""there is no future in the long run without this"".

There were also calls to Slovenian counterparts from the mainstream media to more frequently cover minority-related topics and issues.",social issue,social issue
This year's regular pension rise to amount to 5.2% (adds),"The lowest pension will thus stand at EUR 310 net, guaranteed pension (for full years of service) at EUR 688 and the lowest disability pension at EUR 431.

Over EUR 330 million annually has been earmarked for the regular pension rise, which pensioners will get at the end of February, including the back rise for January.

Under pension legislation, a regular indexation is carried out once a year based on the growth in average monthly gross wages and consumer prices in the previous year.

Wage growth, which reached 2.8% in 2022, accounts for 60% of the rise and consumer prices, which rose by 8.8%, for 40%, which translates into a 5.2% rise, said Andraž Rangus from ZPIZ.

The council also agreed with a proposal from two pensioner organisations for an emergency pension rise due to high inflation and the cost of living crisis.

Based on the proposal of the Pensioners' Association (ZDUS) and Trade Union of Pensioners (SUS), ZPIZ will prepare two pension rise variants.

Under this scenario, pensions are to rise after 1 April. One possible rise is 3.5% and another 4%, but in either case, those who retired before 2011 will get another 1%.

ZPIZ director general Marijan Papež is in favour of this year's regular and emergency increases, but fears the emergency rise could make the pension budget unsustainable.

A similar issue was raised by Franci Klužer, the government's representative on the council, but Andrej Zorko, who represents trade unions, said the pension budget had had constantly a surplus until the employers' contributions had been cut in the 1990s. The contributions paid by workers have meanwhile remained the same.

""How can the state talk about sustainability of the pension budget if it itself caused its unsustainability and thus jeopardised its stability,"" he wondered.

The Ministry of Labour, the Family, Social Affairs and Equal Opportunities meanwhile said it is aware of the hardships of many pensioners, which it wants to address as part of a pension reform.

The ZPIZ council also discussed an opposition SDS-sponsored bill to enable employers to keep the workers for a full 40-hour week also after their retirement.

These workers would receive a full pension, but ZPIZ is not in favour of partial solutions, and urged the government to draft a comprehensive pension reform.",labour,labour
Boštjan Poklukar appointed interior minister (adds),"After being elected, Poklukar said he was confident he would do a good job at the ministry until the end of the term. He declined to reveal his team yet and to say whether there will be any changes at the helm of the police force.

""Every change at the top entails certain changes,"" he said, reiterating that his priorities would be fight against corruption, managing migrations, and the depoliticisation, professionalisation and modernisation of the police.

He would thus not reveal whether acting Police Commissioner Boštjan Lindav will stay on after former Minister Tatjana Bobnar failed with her proposal for the government to appoint Lindav for a full term in early December. Poklukar will meet Lindav today.

The new minister stressed that police commissioner was independent. ""But the interior minister is the one who gives tasks to police with regular and extraordinary guidelines,"" Poklukar said.

Having experience in disaster relief and protection, armed forces and interior affairs, Poklukar is familiar with these fields, which means he will have no problem introducing the ""right ways"" in these systems, Golob told MPs.

He highlighted his three priorities - fight against corruption, managing migration and depoliticisation of police - would mark not only the work of the police and the Interior Ministry but the entire country.

Poklukar has set fight against corruption as his top priority, with Golob saying this was the priority of the entire government.

Corruption is on the rise in Slovenia and the country has been losing spots in corruption perception indexes, he noted. ""We must put an end to this,"" he said, announcing changes to the criminal legislation and a judicial reform if necessary.

Turning to migration, Golob said the removal of the fence on the Slovenian-Croatian border would continue. ""It's also clear that since Croatia's entry into the Schengen Area we must strengthen control at the Schengen outer border. Slovenia will actively participate in this, helping Croatia make oversight over its Schengen border more efficient,"" he said.

As for Poklukar's plans for depoliticising the police, Golob said Poklukar was very much aware of the fact that being a minister was a political office and that he was also aware of the division between the police, the police directorate and the minister.

""I believe that the misunderstandings we have been seeing in these relations in the past year are a thing of the past, because Poklukar is aware of the fact that he is a political official and is aware of the boundaries, which he cannot cross in relation to police,"" Golob said.

Also planned is professionalisation of the police, which will include a new system of promotions. ""The funds to actually finally modernise the police have been set aside in the national budgets for this year and the next and Poklukar will implement this modernisation,"" Golob said.

The deputy groups of the coalition Freedom Movement, Left and the Social Democrats (SD) backed Poklukar unanimously, saying he was an experienced candidate who was aware of his responsibilities.

The SDS and NSi questioned Poklukar's professionalism and independence. SDS MP Branko Grims objected to the ongoig removal of the border fence, noting that the number of migrations doubled in the past year compared to the year before, so the country's security might be at risk.

Grims is also concerned how motivated Poklukar will be for investigating the most complex crimes and whether he will cooperate with other Balkan countries to investigate energy company Gen-I's money withdrawals and transactions in Albania, Kosovo, Bosnia-Herzegovina and Serbia.

SDS leader Janez Janša labelled Poklukar as ""a poor staffing proposal that is even below the average of the current government"" at today's press conference dedicated to Ukraine.

Vida Čadonič Špelič from the NSi deputy group said the public had still not received a convincing explanation as to why Poklukar's predecessor Bobnar had to step down.

She said the NSi was worried that the announced depoliticisation and professionalisation of the police would in fact lead to politicians entering police, especially the National Bureau of Investigation (NBI), and ""have control over individual procedures"".

Poklukar rejected these accusations, saying no minister was efficient enough for the opposition.

Poklukar is now taking over from Public Administration Minister Sanja Ajanović Hovnik, who has temporarily run the ministry.","crime, law and justice","crime, law and justice"
Atlantic Grupa inaugurates its biggest solar plant in Rogaška Slatina,"Slovenian Minister of the Environment and Energy Bojan Kumer said on the occasion that investment in renewable electricity is the right way to decarbonisation.

He welcomed investment by businesses into sustainable operations, saying that a major shift towards renewables is what will take us on the path of green transition.

Last year, the energy crisis led the government to increase investments in the electricity distribution centre and a few months ago, through a public call for tenders, EUR 80 million from the recovery and resilience plan was made available in grants to reinforce the voltage level of the distribution networks.

The new electricity plant, Atlantic Grupa's biggest, will produce 31% of all electricity the Rogaška Slatina facility needs, thus reducing dependency on external sources, optimising costs and contributing to environmental protection, said Smrekar.

At the same location there will be two solar-powered filling stations for electric vehicles, he said, adding that sustainability has been an important part of Atlantic Grupa's business strategy for more than a decade.

Asked why the mineral water Donat is not bottled in glass bottles, Smrekar said they are heavy, which raises the cost of transport and emissions. And when the bottles are returned, a lot of water is used to wash them, so Atlantic Grupa decided on recyclable plastic bottles.

Atlantic Grupa executive director Darja Teržan said this year marks 115 years since the Donat magnesium-rich mineral water spring was discovered in Rogaška Slatina.

Production director Dušan Lorenčič said the soft drinks plant, which opened in 1972, has 73 workers and produces Donat, Cockta and Cedevita in three shifts five days a week. 50 million litres were produced last year, and the plan for this year is 60 million. Since its capacity is at only 75%, they are considering producing new drinks here.",environmental issue,environmental issue
